trait	donor_id	broad_class	n_cells_class	n_cells_other	class_mean_norm_score	other_mean_norm_score	delta
RE	D009-13	bipolar cells	1893	8208	-0.6182926085893132	0.12115556200102347	-0.7394481705903367
RE	D027-13	bipolar cells	2370	11453	-0.12797400175015192	0.01806530183472805	-0.14603930358487996
RE	D030-13	bipolar cells	2293	9856	-0.20731356608316617	0.04675901841982447	-0.25407258450299064
RE	17D013	cones	56	7695	-0.5537578530499999	0.03505006813691307	-0.5888079211869129
RE	19-D007	cones	83	19591	-0.7925935607951807	0.020699041556592405	-0.8132926023517731
RE	19-D009	cones	189	9063	-0.8254672872174604	0.002717155193482279	-0.8281844424109427
RE	19-D010	cones	183	12671	-0.6770518136579236	0.007187471076074487	-0.6842392847339981
RE	D005-13	cones	209	12806	-0.4339462797655503	-0.004822847919818026	-0.42912343184573226
RE	D009-13	cones	249	9852	-0.8190010229578314	0.0028368046651776114	-0.821837827623009
RE	D027-13	cones	232	13591	-0.6191735512844827	0.0034766964655493014	-0.622650247750032
RE	D030-13	cones	435	11714	-0.4499959217197701	0.015471666763290957	-0.4654675884830611
RE	19-D007	horizontal cells	136	19538	-0.6755617831970587	0.022090595767427664	-0.6976523789644864
RE	19-D009	horizontal cells	107	9145	-0.31791354762616825	-0.010647456552167305	-0.30726609107400094
RE	19-D010	horizontal cells	104	12750	-0.47966984857596157	0.0013378532045050687	-0.48100770178046665
RE	D005-13	horizontal cells	138	12877	-0.805665125210145	-0.0032052788423693377	-0.8024598463677757
RE	D009-13	horizontal cells	53	10048	-1.3023158367924528	-0.010644935888253385	-1.2916709009041993
RE	D027-13	horizontal cells	94	13729	-0.28634813182978724	-0.005060802523324309	-0.28128732930646294
RE	D030-13	horizontal cells	284	11865	-0.10536682231901408	0.0012988669242048217	-0.1066656892432189
RE	19-D010	microglia	35	12819	0.48532571117142853	-0.0038859845374413053	0.48921169570886985
RE	D005-13	microglia	41	12974	1.3752128887804878	-0.01609680062988977	1.3913096894103776
RE	D009-13	microglia	97	10004	0.804880869443299	-0.025395491752416025	0.830276361195715
RE	17D013	rods	2167	5584	-1.049993567818274	0.450221328081115	-1.5002148958993888
