trait	gene	cell_spearman_rho	cell_P_descriptive	donor_spearman_rho	donor_P	marker_support	program_support	cell_FDR_descriptive	donor_FDR	candidate_support	analysis_note
RE	TRIL	0.012236558682269935	0.23220714584077323	0.3571428571428572	0.38512064355625636	False	NONE	0.4125715748012077	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	ABI3	0.011978233381403962	0.24221444011560256	-0.3659625273557	0.3726247270244952	False	NONE	0.42348531626168406	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	DNAJB14	-0.011396326592506716	0.2658576295613532	0.3571428571428572	0.38512064355625636	False	NONE	0.44715704532186995	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	DBP	0.010852379462490565	0.2893527806620066	0.3571428571428572	0.38512064355625636	False	NONE	0.4737632609690845	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	C1orf189	-0.010592577153339841	0.3010539025520826	0.3659625273557	0.3726247270244952	False	NONE	0.48571732886997954	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	TRIM8	0.009314345361568919	0.3631529068400019	0.3571428571428572	0.38512064355625636	False	NONE	0.5491423982353011	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	CYP4X1	-0.008775801797268386	0.3915594204639107	-0.3659625273557	0.3726247270244952	False	NONE	0.5795485885932103	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AC131094.1	-0.008653029527288024	0.398219215998433	-0.36782605983808475	0.37000798833303294	False	NONE	0.5853548784994148	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	DDX4	-0.008130627998784057	0.4273110204299081	0.3592878785739777	0.3820646773649864	False	NONE	0.6145034437395818	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	FABP3	-0.008101277938767557	0.42898140163386034	0.3571428571428572	0.38512064355625636	False	NONE	0.6157610555331671	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	EMID1	0.007946008068083894	0.4378811053168531	0.3571428571428572	0.38512064355625636	False	NONE	0.6228617312408812	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	GBF1	-0.00782139383344751	0.44509988106628295	-0.3571428571428572	0.38512064355625636	False	NONE	0.6286140293061577	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	ECHS1	-0.007507194949422363	0.46359912644452417	0.3571428571428572	0.38512064355625636	False	NONE	0.6428023544137608	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MOG	-0.006813774584018931	0.5059018249674805	-0.3659625273557	0.3726247270244952	False	NONE	0.6778371358804691	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	FBXO46	0.006260529209519956	0.5410554616180344	0.3571428571428572	0.38512064355625636	False	NONE	0.7070339339703628	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	TANGO6	0.006062782471758634	0.5539100114596534	-0.3571428571428572	0.38512064355625636	False	NONE	0.7174413547369166	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	RPRD2	0.005796276040127441	0.5714673952456938	0.3571428571428572	0.38512064355625636	False	NONE	0.7294149297018888	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	WNT3	0.005685543349609062	0.5788394771886537	0.3571428571428572	0.38512064355625636	False	NONE	0.7347139061348564	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	SUSD1	-0.005209772316658048	0.6110113134508499	0.3571428571428572	0.38512064355625636	False	NONE	0.7617051783711507	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	TMEM108-AS1	0.004304629776414483	0.6742952534998616	0.36782605983808475	0.37000798833303294	False	NONE	0.806796628488296	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	ADAMTS15	0.0037527654192592084	0.7140803989523316	-0.3571428571428572	0.38512064355625636	False	NONE	0.8356841492072214	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	FHIT	-0.003651540052612319	0.7214670073098215	-0.3571428571428572	0.38512064355625636	False	NONE	0.8408924042963927	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MEGF8	-0.002930802982103115	0.7747761385114547	0.3571428571428572	0.38512064355625636	False	NONE	0.8781993858847956	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	DAB1-AS1	0.00287770429818916	0.7787494175566901	0.3659625273557	0.3726247270244952	False	NONE	0.8808382082433318	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	TMEM61	-0.0023310749262501515	0.8199714022367094	0.3659625273557	0.3726247270244952	False	NONE	0.9066048912613957	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	NUP93	0.0020908376932238606	0.8382538996638349	0.3571428571428572	0.38512064355625636	False	NONE	0.9175599459269148	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	ZNF257	0.0012251565147314207	0.9047910346084156	-0.3571428571428572	0.38512064355625636	False	NONE	0.9497530430766865	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MMP16	0.0010810884708284975	0.9159425305459752	-0.3571428571428572	0.38512064355625636	False	NONE	0.9542344048271186	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	TAF1C	0.0009872586400091817	0.9232144129781019	0.3571428571428572	0.38512064355625636	False	NONE	0.959907352614456	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	DGAT2	0.0006378706772862209	0.9503438857400198	0.3659625273557	0.3726247270244952	False	NONE	0.9770454210420655	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	LINC02506	0.0005290828039371502	0.9588043582533476	0.3659625273557	0.3726247270244952	False	NONE	0.9802777102943662	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	LTA	0.00047647609316580215	0.9628973252149267	0.3571428571428572	0.38512064355625636	False	NONE	0.9816103335385875	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	RSPO3	0.00011993377407546118	0.9906577331967092	0.3592878785739777	0.3820646773649864	False	NONE	0.9932700741280805	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AC105460.1	-0.019130724854741214	0.06177710666790217	-0.3546040716334876	0.3887514877079521	False	NONE	0.16381956071112969	0.738649411958141	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	CDHR4	-0.01489186894885507	0.14595604682083993	-0.3546040716334876	0.3887514877079521	False	NONE	0.2996170319261633	0.738649411958141	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AC022973.3	-0.009756704888705489	0.3408110611358268	-0.3546040716334876	0.3887514877079521	False	NONE	0.5277173987361082	0.738649411958141	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	PLVAP	0.009139146175054324	0.37224930069364504	0.3551424026022888	0.3879803391239287	False	NONE	0.55903701437978	0.738649411958141	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
