gene_symbol	gene_id	muller_nearest_peak_count	all_class_nearest_peak_count	muller_specificity_ratio	n_classes_with_nearest_peak	classes	context_status
LSM14A	26065	14	162	0.0864197531	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM127B	26071	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
POLDIP2	26073	1	19	0.0526315789	8	AC;Astrocyte;BC;Cone;HC;MG;Microglia;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CFAP61	26074	1	16	0.0625	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TBC1D29	26083	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ARHGEF26	26084	19	62	0.306451613	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KLK13	26085	0	2	0	2	Cone;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GPSM1	26086	20	146	0.136986301	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GGA1	26088	10	74	0.135135135	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ABHD12	26090	5	107	0.046728972	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
HERC4	26091	3	49	0.0612244898	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TOR1AIP1	26092	5	39	0.128205128	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CCDC9	26093	19	104	0.182692308	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
DCAF4	26094	4	52	0.0769230769	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PTPN20	26095	10	121	0.0826446281	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CHTOP	26097	3	20	0.15	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
EDRF1	26098	2	25	0.08	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SZRD1	26099	9	85	0.105882353	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
WIPI2	26100	8	102	0.0784313725	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LRIT1	26103	10	47	0.212765957	6	Astrocyte;BC;Cone;MG;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PYGO1	26108	4	54	0.0740740741	8	AC;Astrocyte;BC;Cone;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CCDC69	26112	6	77	0.0779220779	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TANC2	26115	2	92	0.0217391304	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
WSB1	26118	18	222	0.0810810811	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LDLRAP1	26119	13	230	0.0565217391	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PRPF31	26121	5	30	0.166666667	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
EPC2	26122	6	132	0.0454545455	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TCTN3	26123	3	27	0.111111111	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FGFR1OP2	26127	2	57	0.0350877193	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KIF1BP	26128	4	52	0.0769230769	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GAPVD1	26130	13	157	0.0828025478	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TRPC4AP	26133	11	54	0.203703704	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SERBP1	26135	11	132	0.0833333333	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TES	26136	11	66	0.166666667	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZBTB20	26137	9	113	0.0796460177	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TTLL3	26140	3	42	0.0714285714	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
IRF2BP1	26145	8	66	0.121212121	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TRAF3IP1	26146	7	107	0.0654205607	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PHF19	26147	11	120	0.0916666667	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C10orf12	26148	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF658	26149	1	12	0.0833333333	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LRRC32	2615	5	112	0.0446428571	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
RIBC2	26150	3	33	0.0909090909	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
NAT9	26151	14	49	0.285714286	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF337	26152	2	38	0.0526315789	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KIF26A	26153	38	253	0.150197628	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ABCA12	26154	4	36	0.111111111	7	AC;BC;Cone;HC;MG;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
NOC2L	26155	8	56	0.142857143	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
RSL1D1	26156	2	26	0.0769230769	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GIMAP2	26157	0	13	0	2	AC;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
IFT172	26160	5	36	0.138888889	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
